anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,1,42,40 a 49 años,Masculino,19218
2010,1,42,50 a 59 años,Femenino,16594
2010,1,42,50 a 59 años,Masculino,16721
2010,1,42,60 a 69 años,Femenino,13333
2010,1,42,60 a 69 años,Masculino,12709
2010,1,42,70 a 79 años,Femenino,9000
2010,1,42,70 a 79 años,Masculino,7219
2010,1,42,80+ años,Femenino,5636
2010,1,42,80+ años,Masculino,2983
2010,1,46,20 a 39 años,Femenino,54539
2010,1,46,20 a 39 años,Masculino,53847
2010,1,46,40 a 49 años,Femenino,18410
2010,1,46,40 a 49 años,Masculino,18365
2010,1,46,50 a 59 años,Femenino,14788
2010,1,46,50 a 59 años,Masculino,14992
2010,1,46,60 a 69 años,Femenino,9898
2010,1,46,60 a 69 años,Masculino,9589
2010,1,46,70 a 79 años,Femenino,6094
2010,1,46,70 a 79 años,Masculino,4781
2010,1,46,80+ años,Femenino,3380
2010,1,46,80+ años,Masculino,1961
2010,1,50,20 a 39 años,Femenino,268658
2010,1,50,20 a 39 años,Masculino,266737
2010,1,50,40 a 49 años,Femenino,98351
2010,1,50,40 a 49 años,Masculino,91765
2010,1,50,50 a 59 años,Femenino,89524
2010,1,50,50 a 59 años,Masculino,81164
2010,1,50,60 a 69 años,Femenino,71371
2010,1,50,60 a 69 años,Masculino,61455
2010,1,50,70 a 79 años,Femenino,46000
2010,1,50,70 a 79 años,Masculino,34677
2010,1,50,80+ años,Femenino,26795
2010,1,50,80+ años,Masculino,14861
2010,1,54,20 a 39 años,Femenino,162777
2010,1,54,20 a 39 años,Masculino,158071
2010,1,54,40 a 49 años,Femenino,57850
2010,1,54,40 a 49 años,Masculino,56999
2010,1,54,50 a 59 años,Femenino,45071
2010,1,54,50 a 59 años,Masculino,46123
2010,1,54,60 a 69 años,Femenino,28340
2010,1,54,60 a 69 años,Masculino,28054
2010,1,54,70 a 79 años,Femenino,17107
2010,1,54,70 a 79 años,Masculino,14890
2010,1,54,80+ años,Femenino,7965
2010,1,54,80+ años,Masculino,5466
2010,1,58,20 a 39 años,Femenino,92362
2010,1,58,20 a 39 años,Masculino,91667
2010,1,58,40 a 49 años,Femenino,34847
2010,1,58,40 a 49 años,Masculino,33300
2010,1,58,50 a 59 años,Femenino,26677
2010,1,58,50 a 59 años,Masculino,25989
2010,1,58,60 a 69 años,Femenino,16656
2010,1,58,60 a 69 años,Masculino,15937
2010,1,58,70 a 79 años,Femenino,9002
2010,1,58,70 a 79 años,Masculino,7371
2010,1,58,80+ años,Femenino,4648
2010,1,58,80+ años,Masculino,2663
2010,1,62,20 a 39 años,Femenino,99138
2010,1,62,20 a 39 años,Masculino,98734
2010,1,62,40 a 49 años,Femenino,38720
2010,1,62,40 a 49 años,Masculino,37436
2010,1,62,50 a 59 años,Femenino,31683
2010,1,62,50 a 59 años,Masculino,30913
2010,1,62,60 a 69 años,Femenino,22299
2010,1,62,60 a 69 años,Masculino,21326
2010,1,62,70 a 79 años,Femenino,13149
2010,1,62,70 a 79 años,Masculino,11056
2010,1,62,80+ años,Femenino,7326
2010,1,62,80+ años,Masculino,4361
2010,1,66,20 a 39 años,Femenino,187561
